#{"t_start": 1588326508.1600094, "env_id": "MiniGrid-DistShift1-v0"}
r,l,t
0,65,199.340303
0,252,200.031763
0,252,200.545132
0,252,201.052547
0,252,201.561476
0,252,202.267505
0,92,202.454326
0,137,202.729838
0,176,203.083637
0,252,203.592402
0,252,204.27151
0,252,204.777753
0,252,205.292023
0,252,205.791583
0,252,206.471748
0,252,206.966519
0,64,207.094538
0,252,207.608892
0,252,208.115669
0,211,208.742711
0,63,208.868694
0,108,209.085149
0,252,209.594592
0,252,210.106179
0,181,210.480875
0,252,211.146035
0,252,211.657274
0,252,212.170452
0,252,212.680699
0,252,213.35487
0,252,213.867931
0,252,214.378695
0,252,214.880716
0,252,215.578313
0,106,215.794326
0,161,216.127833
0,252,216.639898
0,252,217.148322
0,43,217.235419
0,252,217.905901
0,252,218.418639
0,113,218.649023
0,252,219.157555
0,252,219.666052
0,252,220.336933
0,252,220.847049
0,252,221.349323
0,252,221.852354
0,252,222.565198
0,152,222.87144
0,145,223.167126
0.482143,145,223.457273
0,252,223.973753
0,252,224.656529
0,252,225.160575
0,252,225.664155
0,252,226.178105
0,252,226.852052
0,252,227.361919
0,252,227.868179
0.25,210,228.28789
0,252,228.980179
0,252,229.626477
0,252,230.132924
0,252,230.638992
0,252,231.30817
0,132,231.585999
0,252,232.09159
0,252,232.604902
0,252,233.105571
0,252,233.778885
0,252,234.280968
0,252,234.80273
0,252,235.314607
0,54,250.803954
0,6,250.815921
0,177,251.171437
0,16,251.202589
0,7,251.215806
0,13,251.240807
0,3,251.246631
0,77,251.402477
0,145,251.691295
0,3,251.697587
0,8,251.713157
0,10,251.733331
0,252,252.253252
0,70,252.39694
0,252,253.316534
0,71,253.454873
0,252,253.969466
0,144,254.256448
0,252,254.769564
0,252,255.438361
0,252,255.949374
0,252,256.455277
0,252,256.966696
0,155,257.282742
0,252,258.161046
0,252,258.68343
0,252,259.223977
0,252,259.756051
0,252,260.458985
0,252,260.977263
0,252,261.485939
0,252,261.985712
0,216,262.593125
0,248,263.093692
0,252,263.597082
0,53,263.706747
0,252,264.209821
0,154,264.726551
0,5,264.73652
0,252,265.240014
0,252,265.761732
0,252,266.289914
0,252,266.957662
0,252,267.463498
0,252,267.968195
0,252,268.472735
0,252,268.992233
0,252,269.671731
0,252,270.183592
0,252,270.688319
0,252,271.192034
0,252,271.901279
0,252,272.417202
0,252,272.924809
0,252,273.426351
0,233,274.067158
0,252,274.589294
0,252,275.096534
0,252,275.619266
0,252,276.281248
0,252,276.786695
0,252,277.294739
0,252,277.799939
0,53,277.907054
0,252,278.593938
0,252,279.110891
0,252,279.620888
0,252,280.135298
0,252,280.823585
0,252,281.336692
0,252,281.842462
0,252,282.356586
0,252,283.02399
0.110714,249,283.522782
0,252,284.024367
0,252,284.533388
0,210,285.163208
0,252,285.678058
0,252,286.184005
0,252,286.697122
0,252,287.36355
0,252,287.873095
0,252,288.375813
0,252,288.898889
0,252,289.573252
0,252,290.090162
0,252,290.598661
0.339286,185,290.969621
0,252,291.655274
0,252,292.159025
0,252,292.666847
0,252,293.169047
0,62,293.292193
0,252,293.963378
0,252,294.481782
0,252,294.988418
0,252,295.502501
0,252,296.171563
0,252,296.678872
0,252,297.188758
0,252,297.702239
0,252,298.417805
0,252,298.92873
0,252,299.438582
0,252,299.953372
0,252,300.630409
0,252,301.138351
0,252,301.647395
0,252,302.157291
0,252,302.662067
0,252,303.352952
0,252,303.874358
0,252,304.407159
0,252,304.919667
0,252,305.620237
0,252,306.133592
0,252,306.647854
0,252,307.146974
0,252,307.824671
0,252,308.333899
0,252,308.840444
0,252,309.352998
0,252,310.040546
0,251,310.554651
0,252,311.066214
0,189,311.451438
0,252,312.158818
0,252,312.661204
0,252,313.170619
0,252,313.682432
0,252,314.363124
0,252,314.86693
0,65,314.995906
0,252,315.500753
0.207143,222,315.943415
0,252,316.60709
0,252,317.109719
0,252,317.617471
0,252,318.116431
0,252,318.808009
0,252,319.327121
0,252,319.826214
0,60,319.942785
0,252,320.456841
0,252,321.133203
0,252,321.636391
0,252,322.13941
0,252,322.65327
0,252,323.336127
0,252,323.844378
0,252,324.356625
0,252,324.879055
0,252,325.589967
0,252,326.094218
0,252,326.608096
0,252,327.125668
0,252,327.793844
0,252,328.302361
0,252,328.804902
0,252,329.313441
0,252,329.986295
0,252,330.499916
0,252,331.014799
0,252,331.519552
0,252,332.218184
0,252,332.728585
0,252,333.228874
0,252,333.748542
0,252,334.420705
0,252,334.932046
0,252,335.452983
0,252,335.95636
0,252,336.622125
0,252,337.120573
0,252,337.629847
0,252,338.145602
0,252,338.848266
0,252,339.361475
0,252,339.859753
0,252,340.370998
0,190,340.752206
0,252,341.415899
0,252,341.914826
0,252,342.423906
0,252,342.928949
0,252,343.596806
0,252,344.106507
0,252,344.615998
0,252,345.114797
0,252,345.800753
0,252,346.310624
0,252,346.826312
0,252,347.346513
0,252,348.017282
0,252,348.523561
0,252,349.041008
0,107,349.258492
0,252,349.774186
0,252,350.458318
0,252,350.975382
0,252,351.488992
0,252,352.009243
0,252,352.726823
0,252,353.247771
0,252,353.755926
0,252,354.26781
0,252,354.945794
0,252,355.467624
0,252,355.996832
0,252,356.514955
0,252,357.194206
0,252,357.705045
0,252,358.219177
0,252,358.738437
0,252,359.441092
0,252,359.964793
0,252,360.480134
0,252,361.003991
0,228,361.633296
0,93,361.819289
0,252,362.330816
0,252,362.838294
0,252,363.341468
0,252,364.02249
0,17,364.056333
0,252,364.569994
0,252,365.078077
0,252,365.588012
0,252,366.303473
0,252,366.819486
0,252,367.329642
0,252,367.848508
0,252,368.516589
0,252,369.03157
0,252,369.553041
0,252,370.061667
0,252,370.730085
0,252,371.24318
0,252,371.747462
0,252,372.262441
0,252,372.962885
0,252,373.487497
0,252,373.991008
0,252,374.507785
0,252,375.184802
0,252,375.690921
0,252,376.198807
0,252,376.715964
0,252,377.375697
0,252,377.883913
0,252,378.39626
0,252,378.906165
0,252,379.605582
0,252,380.121446
0,252,380.634061
0,252,381.147197
0,252,381.825465
0,252,382.343307
0,252,382.856568
0,252,383.373571
0,252,384.050884
0,252,384.580337
0,27,384.633034
0,252,385.150688
0,104,385.371002
0,41,385.458245
0,252,385.980257
0,252,386.683452
0,252,387.196936
0,252,387.720484
0,252,388.233441
0,252,388.925097
0,252,389.438893
0,252,389.959346
0,252,390.467592
0,252,391.142804
0,252,391.665091
0,252,392.183563
0,252,392.701793
0,113,393.136666
0,252,393.654283
0,252,394.177975
0,252,394.711472
0,252,395.383054
0.15,238,395.879241
0,252,396.39721
0,252,396.914836
0,252,397.591764
0,252,398.114289
0,252,398.630654
0,202,399.041948
0,252,399.556263
0,252,400.267056
0,252,400.791391
0,252,401.313318
0,252,401.826912
0,252,402.520478
0,252,403.037935
0,252,403.556237
0,252,404.072289
0,252,404.765125
0,252,405.271824
0,252,405.7898
0,252,406.300501
0,252,407.021439
0,252,407.532777
0,252,408.049556
0,252,408.572506
0,252,409.239412
0,252,409.748504
0,252,410.265193
0.764286,66,410.396936
0,252,410.914642
0,252,411.577687
0,57,411.691974
0,252,412.20366
0,252,412.710846
0,252,413.237821
0,252,413.934531
0,252,414.440711
0,252,414.956355
0,252,415.491428
0,252,416.168989
0,252,416.684155
0,252,417.185771
0,252,417.704476
